run,N1257,E1257,s1257
115,45200.517687549145,1256.7286302965153,1.3093420004802743
116,45747.668086408914,1256.8529522603826,1.3352777680472385
117,5492.598502441206,1256.7292921640437,1.312943867628848
118,44467.458502921574,1256.7249225978144,1.3030156031622515
119,44377.84598362509,1256.7823658906718,1.3169173461771404
120,38135.18368833339,1256.763431278552,1.2112473155719823
121,42523.20420636573,1256.775310545616,1.3734065770008446
122,1224.8840142876127,1256.732180798292,1.0348857101660063
123,34929.38797709056,1256.7773472401368,1.1843230197025703
124,37397.37570779706,1256.7911253512402,1.3200245897622402
125,38154.81368271898,1256.801580429547,1.2752776789712292
126,35511.20603917274,1256.7754052389241,1.2729975429320106
127,39588.52734969279,1256.7694689442026,1.2880321053481896
128,37483.77597446346,1256.7626176254257,1.3249358801084838
129,37926.33269166788,1256.7900017811007,1.300567383109337
130,40968.63104693396,1256.8841094232778,1.3730246520696616
131,39535.03159886279,1256.7182962426427,1.3046378913259247
132,34774.77544755202,1256.779494683831,1.3204154609439747
133,43084.490821518615,1256.779597362138,1.3271874106023658
134,41057.75854337182,1256.815679597759,1.3779736119760795
135,37997.84413859158,1256.7649191992036,1.2927908578090566
136,37066.809383576,1256.758309135346,1.284106603462302
137,45258.8742306025,1256.797753553965,1.3978884178742366
138,40704.74366588862,1256.7584507238516,1.3024120418781613
139,46413.11200115015,1256.8183646687723,1.4601573483385273
140,40406.05007445026,1256.745778104007,1.318949710863682
141,4911.062263872545,1256.7295035112286,1.2739688367831385
142,38290.568794359766,1256.7977748683613,1.2850787810500797
143,8067.799040997679,1256.8088862759676,1.3204488503692433
144,2592.186114400573,1256.862760105139,1.365691940809603
145,42610.81955967435,1256.7863850126155,1.3190183148121395
146,44017.28168358544,1256.8108875158257,1.2980445426603286
147,15205.82606368966,1256.7719639395793,1.1796335689441837
148,1236.1651950359742,1256.7466570661736,0.9334331595659925
149,17004.384012601084,1256.7559762458798,1.27805517620046
150,2814.4470443383457,1256.7747587225854,1.2656949567146372
151,43751.34044136737,1256.832758035725,1.2908958688448555
152,16979.187534863584,1256.7745786053597,1.3877479192854691
153,45103.446341326,1256.7330713138726,1.3272462465188586
154,44057.332033759274,1256.7406284806184,1.2802142734033841
155,43841.429945266966,1256.7684341094632,1.3408686568927963
156,44607.40068716188,1256.761578796286,1.3414825819879619
157,39868.84883819279,1256.7813335558951,1.2705670210560773
158,44417.39214433025,1256.747535760088,1.28597712352457
159,44572.7589929184,1256.8377675282884,1.3486975156377268
160,45680.538629216215,1256.7303756141746,1.2516508423571364
161,17632.10987801046,1261.4535842449745,6.399489746267061
162,2547.7346799586435,1256.7540578695305,1.18166648235548
163,1498.0974284385286,1256.7197282246725,1.4550433561998715
164,48540.35226430593,1256.775738590954,1.2881924207383046
165,39066.66299353178,1256.7751929526653,1.334433113338458
166,41293.6806139675,1256.7745301895657,1.3176436126282915
167,41916.11436265599,1256.7704453257675,1.2831891276345806
168,2390.2180096535217,1256.7449801172872,1.2558114494809205
169,736.6195696694876,1256.5552391313258,1.1213919708264704
170,41333.49354061752,1256.760216646688,1.286778829555927
171,1916.1940072990283,1256.8773097355484,1.380434195164212
172,814.9266633164893,1256.596588211604,0.9560126225636585
173,43666.19346159294,1256.7812152282406,1.3519001855265242
174,43636.704688429585,1256.75398003322,1.289185310837904
175,3266.712071658668,1256.9361226279657,1.4315613236334859
176,42196.36211020432,1256.7300377714375,1.3074345656636523
177,42321.41056709016,1256.7914607758057,1.2998532384678265
178,4259.646621673531,1256.8787256419396,1.4408463121114805
179,41545.805307409355,1256.7201199134136,1.3065628553247892
180,42210.80399157971,1256.7834771070022,1.3022546551818925
181,42034.9612283678,1256.79660584948,1.3629194029109757
182,43490.04274724575,1256.7836541337524,1.3559220115348307
183,45949.430984863095,1256.8025035777948,1.3408976951880038
184,44150.40492891799,1256.7783430589504,1.3073589637555862
185,40188.23664749544,1256.7647944825528,1.2423167549154694
186,43736.53806072442,1256.8234199416443,1.3369639194441474
187,26823.496835406862,1256.743170249942,1.2439878523394987
188,8251.69156863194,1256.6958211731942,1.3249610239399363
189,2361.6533797694865,1256.7826979269878,1.147210275630571
190,615.0009722280231,1256.6590836555877,1.1407701360932194
191,43110.874507134,1256.7529615258038,1.3635416456635927
192,45755.02658123859,1256.7681629494994,1.3800889214063943
193,40610.34272714578,1256.7267166223635,1.2832348448388549
194,42394.965291766726,1256.7679203526752,1.3285886393591282
195,45114.47388264296,1256.7429789242242,1.3811754343643576
196,7484.972307136959,1256.7006408467112,1.2954428878093343
197,24668.523918018916,1256.7965596841225,1.1480399061710118
198,600937.1393536963,1257.312044258906,1.6149599042343112
199,1.855222359448534e7,1260.583941762413,5.4087389908926955
200,160281.2896387715,1256.8396493831156,1.408466362891398
201,2558.9256665571347,1256.755208943121,1.101538434275866
202,1194.3543340465133,1256.8072769361202,1.0661253305156675
203,13.095314666158849,1256.3393138312715,0.4069056942392308
300,267.5511329065989,1256.6527340146865,0.973177683383951
301,37827.533891508276,1256.768921366129,1.057170143672536
